Probe Set ID	Gene Title	Gene Symbol
200764_s_at	"catenin (cadherin-associated protein), alpha 1, 102kDa"	CTNNA1
200765_x_at	"catenin (cadherin-associated protein), alpha 1, 102kDa"	CTNNA1
200766_at	cathepsin D	CTSD
200767_s_at	family with sequence similarity 120A	FAM120A
200768_s_at	"methionine adenosyltransferase II, alpha"	MAT2A
200769_s_at	"methionine adenosyltransferase II, alpha"	MAT2A
200770_s_at	"laminin, gamma 1 (formerly LAMB2)"	LAMC1
200771_at	"laminin, gamma 1 (formerly LAMB2)"	LAMC1
200772_x_at	"prothymosin, alpha"	PTMA
200773_x_at	"prothymosin, alpha"	PTMA
200774_at	family with sequence similarity 120A	FAM120A
200775_s_at	heterogeneous nuclear ribonucleoprotein K	HNRNPK
200776_s_at	basic leucine zipper and W2 domains 1 /// basic leucine zipper and W2 domains 1 like 1	BZW1 /// BZW1L1
200777_s_at	basic leucine zipper and W2 domains 1	BZW1
200778_s_at	septin 2	2-Sep
200779_at	activating transcription factor 4 (tax-responsive enhancer element B67)	ATF4
200780_x_at	GNAS complex locus	GNAS
200781_s_at	ribosomal protein S15a	RPS15A
200782_at	annexin A5	ANXA5
200783_s_at	stathmin 1	STMN1
200784_s_at	similar to low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor) /// low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	LOC100134190 /// LRP1
200785_s_at	similar to low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor) /// low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	LOC100134190 /// LRP1
200786_at	"proteasome (prosome, macropain) subunit, beta type, 7"	PSMB7
200787_s_at	phosphoprotein enriched in astrocytes 15	PEA15
200788_s_at	phosphoprotein enriched in astrocytes 15	PEA15
200789_at	"enoyl Coenzyme A hydratase 1, peroxisomal"	ECH1
200790_at	ornithine decarboxylase 1	ODC1
200791_s_at	IQ motif containing GTPase activating protein 1	IQGAP1
200792_at	X-ray repair complementing defective repair in Chinese hamster cells 6	XRCC6
200793_s_at	"aconitase 2, mitochondrial"	ACO2
200794_x_at	DAZ associated protein 2	DAZAP2
200795_at	SPARC-like 1 (hevin)	SPARCL1
200796_s_at	myeloid cell leukemia sequence 1 (BCL2-related)	MCL1
200797_s_at	myeloid cell leukemia sequence 1 (BCL2-related)	MCL1
200798_x_at	myeloid cell leukemia sequence 1 (BCL2-related)	MCL1
200799_at	heat shock 70kDa protein 1A	HSPA1A
200800_s_at	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	HSPA1A /// HSPA1B
200801_x_at	"actin, beta"	ACTB
200802_at	seryl-tRNA synthetase	SARS
200803_s_at	transmembrane BAX inhibitor motif containing 6	TMBIM6
200804_at	transmembrane BAX inhibitor motif containing 6	TMBIM6
200805_at	"lectin, mannose-binding 2"	LMAN2
200806_s_at	heat shock 60kDa protein 1 (chaperonin)	HSPD1
200807_s_at	heat shock 60kDa protein 1 (chaperonin)	HSPD1
200808_s_at	zyxin	ZYX
200809_x_at	ribosomal protein L12	RPL12
200810_s_at	cold inducible RNA binding protein	CIRBP
200811_at	cold inducible RNA binding protein	CIRBP
200812_at	"chaperonin containing TCP1, subunit 7 (eta)"	CCT7
200813_s_at	"platelet-activating factor acetylhydrolase, isoform Ib, subunit 1 (45kDa)"	PAFAH1B1
200814_at	"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"	PSME1
200815_s_at	"platelet-activating factor acetylhydrolase, isoform Ib, subunit 1 (45kDa)"	PAFAH1B1
200816_s_at	"platelet-activating factor acetylhydrolase, isoform Ib, subunit 1 (45kDa)"	PAFAH1B1
200817_x_at	ribosomal protein S10	RPS10
200818_at	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"	ATP5O
200819_s_at	ribosomal protein S15	RPS15
200820_at	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 8"	PSMD8
200821_at	lysosomal-associated membrane protein 2	LAMP2
200822_x_at	triosephosphate isomerase 1	TPI1
200823_x_at	ribosomal protein L29	RPL29
200824_at	glutathione S-transferase pi 1	GSTP1
200825_s_at	hypoxia up-regulated 1	HYOU1
200826_at	small nuclear ribonucleoprotein D2 polypeptide 16.5kDa	SNRPD2
200827_at	"procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1"	PLOD1
200828_s_at	zinc finger protein 207	ZNF207
200829_x_at	zinc finger protein 207	ZNF207
200830_at	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 2"	PSMD2
200831_s_at	stearoyl-CoA desaturase (delta-9-desaturase)	SCD
200832_s_at	stearoyl-CoA desaturase (delta-9-desaturase)	SCD
200833_s_at	"hCG1757335 /// RAP1B, member of RAS oncogene family"	hCG_1757335 /// RAP1B
200834_s_at	ribosomal protein S21	RPS21
200835_s_at	microtubule-associated protein 4	MAP4
200836_s_at	microtubule-associated protein 4	MAP4
200837_at	B-cell receptor-associated protein 31	BCAP31
200838_at	cathepsin B	CTSB
200839_s_at	cathepsin B	CTSB
200840_at	lysyl-tRNA synthetase	KARS
200841_s_at	glutamyl-prolyl-tRNA synthetase	EPRS
200842_s_at	glutamyl-prolyl-tRNA synthetase	EPRS
200843_s_at	glutamyl-prolyl-tRNA synthetase	EPRS
200844_s_at	peroxiredoxin 6	PRDX6
200845_s_at	peroxiredoxin 6	PRDX6
200846_s_at	"protein phosphatase 1, catalytic subunit, alpha isoform"	PPP1CA
200847_s_at	transmembrane protein 66	TMEM66
200848_at	S-adenosylhomocysteine hydrolase-like 1	AHCYL1
200849_s_at	S-adenosylhomocysteine hydrolase-like 1	AHCYL1
200850_s_at	S-adenosylhomocysteine hydrolase-like 1	AHCYL1
200851_s_at	KIAA0174	KIAA0174
200852_x_at	"guanine nucleotide binding protein (G protein), beta polypeptide 2"	GNB2
200853_at	"H2A histone family, member Z"	H2AFZ
200854_at	nuclear receptor co-repressor 1	NCOR1
200855_at	chromosome 20 open reading frame 191 /// similar to nuclear receptor co-repressor 1 /// nuclear receptor co-repressor 1	C20orf191 /// LOC100133918 /// NCOR1
200856_x_at	chromosome 20 open reading frame 191 /// similar to nuclear receptor co-repressor 1 /// nuclear receptor co-repressor 1	C20orf191 /// LOC100133918 /// NCOR1
200857_s_at	nuclear receptor co-repressor 1	NCOR1
200858_s_at	ribosomal protein S8	RPS8
200859_x_at	"filamin A, alpha (actin binding protein 280)"	FLNA
200860_s_at	"CCR4-NOT transcription complex, subunit 1"	CNOT1
200861_at	"CCR4-NOT transcription complex, subunit 1"	CNOT1
200862_at	24-dehydrocholesterol reductase	DHCR24
200863_s_at	"RAB11A, member RAS oncogene family"	RAB11A
200864_s_at	"RAB11A, member RAS oncogene family"	RAB11A
200865_at	"eukaryotic translation initiation factor 3, subunit F"	EIF3F
200866_s_at	prosaposin	PSAP
200867_at	ring finger protein 114	RNF114
200868_s_at	ring finger protein 114	RNF114
200869_at	ribosomal protein L18a /// ribosomal protein L18a pseudogene 3	RPL18A /// RPL18AP3
200870_at	serine/threonine kinase receptor associated protein	STRAP
200871_s_at	prosaposin	PSAP
200872_at	S100 calcium binding protein A10	S100A10
200873_s_at	"chaperonin containing TCP1, subunit 8 (theta)"	CCT8
200874_s_at	NOP56 ribonucleoprotein homolog (yeast)	NOP56
200875_s_at	NOP56 ribonucleoprotein homolog (yeast)	NOP56
200876_s_at	"proteasome (prosome, macropain) subunit, beta type, 1"	PSMB1
200877_at	"chaperonin containing TCP1, subunit 4 (delta)"	CCT4
200878_at	endothelial PAS domain protein 1	EPAS1
200879_s_at	endothelial PAS domain protein 1	EPAS1
200880_at	"DnaJ (Hsp40) homolog, subfamily A, member 1"	DNAJA1
200881_s_at	"DnaJ (Hsp40) homolog, subfamily A, member 1"	DNAJA1
200882_s_at	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4"	PSMD4
200883_at	ubiquinol-cytochrome c reductase core protein II	UQCRC2
200884_at	"creatine kinase, brain"	CKB
200885_at	"ras homolog gene family, member C"	RHOC
200886_s_at	phosphoglycerate mutase 1 (brain)	PGAM1
200887_s_at	"signal transducer and activator of transcription 1, 91kDa"	STAT1
200888_s_at	ribosomal protein L23	RPL23
200889_s_at	"signal sequence receptor, alpha"	SSR1
200890_s_at	"signal sequence receptor, alpha"	SSR1
200891_s_at	"signal sequence receptor, alpha"	SSR1
200892_s_at	transformer 2 beta homolog (Drosophila)	TRA2B
200893_at	transformer 2 beta homolog (Drosophila)	TRA2B
200894_s_at	"FK506 binding protein 4, 59kDa"	FKBP4
200895_s_at	"FK506 binding protein 4, 59kDa"	FKBP4
200896_x_at	hepatoma-derived growth factor (high-mobility group protein 1-like)	HDGF
200897_s_at	"palladin, cytoskeletal associated protein"	PALLD
200898_s_at	meningioma expressed antigen 5 (hyaluronidase)	MGEA5
200899_s_at	meningioma expressed antigen 5 (hyaluronidase)	MGEA5
200900_s_at	mannose-6-phosphate receptor (cation dependent)	M6PR
200901_s_at	mannose-6-phosphate receptor (cation dependent)	M6PR
200902_at	15 kDa selenoprotein	15-Sep
200903_s_at	S-adenosylhomocysteine hydrolase	AHCY
200904_at	"major histocompatibility complex, class I, E"	HLA-E
200905_x_at	"major histocompatibility complex, class I, E"	HLA-E
200906_s_at	"palladin, cytoskeletal associated protein"	PALLD
200907_s_at	"palladin, cytoskeletal associated protein"	PALLD
200908_s_at	"ribosomal protein, large, P2"	RPLP2
200909_s_at	"ribosomal protein, large, P2"	RPLP2
200910_at	"chaperonin containing TCP1, subunit 3 (gamma)"	CCT3
200911_s_at	"transforming, acidic coiled-coil containing protein 1"	TACC1
200912_s_at	"eukaryotic translation initiation factor 4A, isoform 2"	EIF4A2
200913_at	"protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform"	PPM1G
200914_x_at	kinectin 1 (kinesin receptor)	KTN1
200915_x_at	kinectin 1 (kinesin receptor)	KTN1
200916_at	transgelin 2	TAGLN2
200917_s_at	signal recognition particle receptor (docking protein)	SRPR
200918_s_at	signal recognition particle receptor (docking protein)	SRPR
200919_at	polyhomeotic homolog 2 (Drosophila)	PHC2
200920_s_at	"B-cell translocation gene 1, anti-proliferative"	BTG1
200921_s_at	"B-cell translocation gene 1, anti-proliferative"	BTG1
200922_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	KDELR1
200923_at	"lectin, galactoside-binding, soluble, 3 binding protein /// similar to lectin, galactoside-binding, soluble, 3 binding protein"	LGALS3BP /// LOC100133842
200924_s_at	"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2"	SLC3A2
200925_at	cytochrome c oxidase subunit VIa polypeptide 1	COX6A1
200926_at	ribosomal protein S23	RPS23
200927_s_at	"RAB14, member RAS oncogene family"	RAB14
200928_s_at	"RAB14, member RAS oncogene family"	RAB14
200929_at	transmembrane emp24-like trafficking protein 10 (yeast)	TMED10
200930_s_at	vinculin	VCL
200931_s_at	vinculin	VCL
200932_s_at	dynactin 2 (p50)	DCTN2
200933_x_at	"ribosomal protein S4, X-linked"	RPS4X
200934_at	DEK oncogene	DEK
200935_at	calreticulin	CALR
200936_at	ribosomal protein L8	RPL8
200937_s_at	ribosomal protein L5	RPL5
200938_s_at	arginine-glutamic acid dipeptide (RE) repeats	RERE
200939_s_at	arginine-glutamic acid dipeptide (RE) repeats	RERE
200940_s_at	arginine-glutamic acid dipeptide (RE) repeats	RERE
200941_at	heat shock factor binding protein 1	HSBP1
200942_s_at	heat shock factor binding protein 1	HSBP1
200943_at	high-mobility group nucleosome binding domain 1	HMGN1
200944_s_at	high-mobility group nucleosome binding domain 1	HMGN1
200945_s_at	SEC31 homolog A (S. cerevisiae)	SEC31A
200946_x_at	glutamate dehydrogenase 1	GLUD1
200947_s_at	glutamate dehydrogenase 1	GLUD1
200948_at	myeloid leukemia factor 2	MLF2
200949_x_at	ribosomal protein S20	RPS20
200950_at	"actin related protein 2/3 complex, subunit 1A, 41kDa"	ARPC1A
200951_s_at	cyclin D2	CCND2
200952_s_at	cyclin D2	CCND2
200953_s_at	cyclin D2	CCND2
200954_at	"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c"	ATP6V0C
200955_at	"inner membrane protein, mitochondrial (mitofilin)"	IMMT
200956_s_at	structure specific recognition protein 1	SSRP1
200957_s_at	structure specific recognition protein 1	SSRP1
200958_s_at	syndecan binding protein (syntenin)	SDCBP
200959_at	fusion (involved in t(12;16) in malignant liposarcoma)	FUS
200960_x_at	"clathrin, light chain (Lca)"	CLTA
200961_at	selenophosphate synthetase 2	SEPHS2
200962_at	ribosomal protein L31	RPL31
200963_x_at	ribosomal protein L31	RPL31
200964_at	ubiquitin-like modifier activating enzyme 1	UBA1
200965_s_at	actin binding LIM protein 1	ABLIM1
200966_x_at	"aldolase A, fructose-bisphosphate"	ALDOA
200967_at	peptidylprolyl isomerase B (cyclophilin B)	PPIB
200968_s_at	peptidylprolyl isomerase B (cyclophilin B)	PPIB
200969_at	stress-associated endoplasmic reticulum protein 1	SERP1
200970_s_at	stress-associated endoplasmic reticulum protein 1	SERP1
200971_s_at	stress-associated endoplasmic reticulum protein 1	SERP1
200972_at	tetraspanin 3	TSPAN3
200973_s_at	tetraspanin 3	TSPAN3
200974_at	"actin, alpha 2, smooth muscle, aorta"	ACTA2
200975_at	palmitoyl-protein thioesterase 1	PPT1
200976_s_at	Tax1 (human T-cell leukemia virus type I) binding protein 1	TAX1BP1
200977_s_at	Tax1 (human T-cell leukemia virus type I) binding protein 1	TAX1BP1
200978_at	"malate dehydrogenase 1, NAD (soluble)"	MDH1
200979_at	pyruvate dehydrogenase (lipoamide) alpha 1	PDHA1
200980_s_at	pyruvate dehydrogenase (lipoamide) alpha 1	PDHA1
200981_x_at	GNAS complex locus	GNAS
200982_s_at	annexin A6	ANXA6
200983_x_at	"CD59 molecule, complement regulatory protein"	CD59
200984_s_at	"CD59 molecule, complement regulatory protein"	CD59
200985_s_at	"CD59 molecule, complement regulatory protein"	CD59
200986_at	"serpin peptidase inhibitor, clade G (C1 inhibitor), member 1"	SERPING1
200987_x_at	"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)"	PSME3
200988_s_at	"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)"	PSME3
200989_at	"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"	HIF1A
200990_at	tripartite motif-containing 28	TRIM28
200991_s_at	sorting nexin 17	SNX17
200992_at	importin 7	IPO7
200993_at	importin 7	IPO7
200994_at	importin 7	IPO7
200995_at	importin 7	IPO7
200996_at	ARP3 actin-related protein 3 homolog (yeast)	ACTR3
200997_at	RNA binding motif protein 4	RBM4
200998_s_at	cytoskeleton-associated protein 4	CKAP4
200999_s_at	cytoskeleton-associated protein 4	CKAP4
201000_at	alanyl-tRNA synthetase	AARS
201001_s_at	TMEM189-UBE2V1 readthrough transcript /// ubiquitin-conjugating enzyme E2 variant 1	TMEM189-UBE2V1 /// UBE2V1
201002_s_at	TMEM189-UBE2V1 readthrough transcript /// ubiquitin-conjugating enzyme E2 variant 1	TMEM189-UBE2V1 /// UBE2V1
201003_x_at	arginyl aminopeptidase (aminopeptidase B) /// transmembrane protein 189 /// TMEM189-UBE2V1 readthrough transcript /// ubiquitin-conjugating enzyme E2 variant 1 /// ubiquitin-conjugating enzyme E2 variant 1 pseudogene 2	RNPEP /// TMEM189 /// TMEM189-UBE2V1 /// UBE2V1 /// UBE2V1P2
201004_at	"signal sequence receptor, delta (translocon-associated protein delta)"	SSR4
201005_at	CD9 molecule	CD9
201006_at	peroxiredoxin 2	PRDX2
201007_at	"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit"	HADHB
201008_s_at	thioredoxin interacting protein	TXNIP
201009_s_at	thioredoxin interacting protein	TXNIP
201010_s_at	thioredoxin interacting protein	TXNIP
201011_at	ribophorin I	RPN1
201012_at	annexin A1	ANXA1
201013_s_at	"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"	PAICS
201014_s_at	"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"	PAICS
201015_s_at	junction plakoglobin	JUP
201016_at	"eukaryotic translation initiation factor 1A, X-linked"	EIF1AX
201017_at	"eukaryotic translation initiation factor 1A, X-linked"	EIF1AX
201018_at	"eukaryotic translation initiation factor 1A, X-linked"	EIF1AX
201019_s_at	"eukaryotic translation initiation factor 1A pseudogene 1 /// eukaryotic translation initiation factor 1A, X-linked"	EIF1AP1 /// EIF1AX
201020_at	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide"	YWHAH
201021_s_at	destrin (actin depolymerizing factor)	DSTN
201022_s_at	destrin (actin depolymerizing factor)	DSTN
201023_at	"TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa"	TAF7
201024_x_at	eukaryotic translation initiation factor 5B	EIF5B
201025_at	eukaryotic translation initiation factor 5B	EIF5B
201026_at	eukaryotic translation initiation factor 5B	EIF5B
201027_s_at	eukaryotic translation initiation factor 5B	EIF5B
201028_s_at	CD99 molecule	CD99
201029_s_at	CD99 molecule	CD99
201030_x_at	lactate dehydrogenase B	LDHB
201031_s_at	heterogeneous nuclear ribonucleoprotein H1 (H)	HNRNPH1
201032_at	bladder cancer associated protein	BLCAP
201033_x_at	"ribosomal protein, large, P0"	RPLP0
201034_at	adducin 3 (gamma)	ADD3
201035_s_at	hydroxyacyl-Coenzyme A dehydrogenase	HADH
201036_s_at	hydroxyacyl-Coenzyme A dehydrogenase	HADH
201037_at	"phosphofructokinase, platelet"	PFKP
201038_s_at	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"	ANP32A
201039_s_at	RAD23 homolog A (S. cerevisiae)	RAD23A
201040_at	"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2"	GNAI2
201041_s_at	dual specificity phosphatase 1	DUSP1
201042_at	"transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)"	TGM2
201043_s_at	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A /// hypothetical protein LOC100128146"	ANP32A /// LOC100128146
201044_x_at	dual specificity phosphatase 1	DUSP1
201045_s_at	"RAB6A, member RAS oncogene family"	RAB6A
201046_s_at	RAD23 homolog A (S. cerevisiae)	RAD23A
201047_x_at	"RAB6A, member RAS oncogene family"	RAB6A
201048_x_at	"RAB6A, member RAS oncogene family"	RAB6A
201049_s_at	ribosomal protein S18	RPS18
201050_at	"phospholipase D family, member 3"	PLD3
201051_at	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"	ANP32A
201052_s_at	"proteasome (prosome, macropain) inhibitor subunit 1 (PI31)"	PSMF1
201053_s_at	"proteasome (prosome, macropain) inhibitor subunit 1 (PI31)"	PSMF1
201054_at	heterogeneous nuclear ribonucleoprotein A0	HNRNPA0
201055_s_at	heterogeneous nuclear ribonucleoprotein A0	HNRNPA0
201056_at	"golgin B1, golgi integral membrane protein"	GOLGB1
201057_s_at	"golgin B1, golgi integral membrane protein"	GOLGB1
201058_s_at	"myosin, light chain 9, regulatory"	MYL9
201059_at	cortactin	CTTN
201060_x_at	stomatin	STOM
201061_s_at	stomatin	STOM
201062_at	stomatin	STOM
201063_at	"reticulocalbin 1, EF-hand calcium binding domain"	RCN1
201064_s_at	"poly(A) binding protein, cytoplasmic 4 (inducible form)"	PABPC4
201065_s_at	"general transcription factor II, i /// general transcription factor II, i, pseudogene 1 /// general transcription factor II, i, pseudogene"	GTF2I /// GTF2IP1 /// LOC100093631
201066_at	cytochrome c-1	CYC1
201067_at	"proteasome (prosome, macropain) 26S subunit, ATPase, 2"	PSMC2
201068_s_at	"proteasome (prosome, macropain) 26S subunit, ATPase, 2"	PSMC2
201069_at	"matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)"	MMP2
201070_x_at	"splicing factor 3b, subunit 1, 155kDa"	SF3B1
201071_x_at	"splicing factor 3b, subunit 1, 155kDa"	SF3B1
201072_s_at	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"	SMARCC1
201073_s_at	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"	SMARCC1
201074_at	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"	SMARCC1
201075_s_at	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"	SMARCC1
201076_at	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	NHP2L1
201077_s_at	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	NHP2L1
201078_at	transmembrane 9 superfamily member 2	TM9SF2
201079_at	synaptogyrin 2	SYNGR2
201080_at	"phosphatidylinositol-5-phosphate 4-kinase, type II, beta"	PIP4K2B
201081_s_at	"phosphatidylinositol-5-phosphate 4-kinase, type II, beta"	PIP4K2B
201082_s_at	"dynactin 1 (p150, glued homolog, Drosophila)"	DCTN1
201083_s_at	BCL2-associated transcription factor 1	BCLAF1
201084_s_at	BCL2-associated transcription factor 1	BCLAF1
201085_s_at	SON DNA binding protein	SON
201086_x_at	SON DNA binding protein	SON
201087_at	paxillin	PXN
201088_at	"karyopherin alpha 2 (RAG cohort 1, importin alpha 1)"	KPNA2
201089_at	"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2"	ATP6V1B2
201090_x_at	"tubulin, alpha 1b"	TUBA1B
201091_s_at	"chromobox homolog 3 (HP1 gamma homolog, Drosophila)"	CBX3
201092_at	retinoblastoma binding protein 7	RBBP7
201093_x_at	"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"	SDHA
201094_at	ribosomal protein S29	RPS29
201095_at	death-associated protein	DAP
201096_s_at	ADP-ribosylation factor 4	ARF4
201097_s_at	ADP-ribosylation factor 4	ARF4
201098_at	"coatomer protein complex, subunit beta 2 (beta prime)"	COPB2
201099_at	"ubiquitin specific peptidase 9, X-linked"	USP9X
201100_s_at	"ubiquitin specific peptidase 9, X-linked"	USP9X
201101_s_at	BCL2-associated transcription factor 1	BCLAF1
201102_s_at	"phosphofructokinase, liver"	PFKL
201103_x_at	"neuroblastoma breakpoint family, member 10 /// neuroblastoma breakpoint family, member 12 /// neuroblastoma breakpoint family, member 15 /// neuroblastoma breakpoint family, member 16 /// neuroblastoma breakpoint family, member 8 /// neuroblastoma breakpoint family, member 9 /// neuroblastoma breakpoint family, member 11-like"	NBPF10 /// NBPF12 /// NBPF15 /// NBPF16 /// NBPF8 /// NBPF9 /// RP11-94I2.2
201104_x_at	"neuroblastoma breakpoint family, member 10 /// neuroblastoma breakpoint family, member 11 /// neuroblastoma breakpoint family, member 12 /// neuroblastoma breakpoint family, member 14 /// neuroblastoma breakpoint family, member 15 /// neuroblastoma breakpoint family, member 16 /// neuroblastoma breakpoint family, member 8 /// neuroblastoma breakpoint family, member 11-like"	NBPF10 /// NBPF11 /// NBPF12 /// NBPF14 /// NBPF15 /// NBPF16 /// NBPF8 /// RP11-94I2.2
201105_at	"lectin, galactoside-binding, soluble, 1"	LGALS1
201106_at	glutathione peroxidase 4 (phospholipid hydroperoxidase)	GPX4
201107_s_at	thrombospondin 1	THBS1
201108_s_at	thrombospondin 1	THBS1
201109_s_at	thrombospondin 1	THBS1
201110_s_at	thrombospondin 1	THBS1
201111_at	CSE1 chromosome segregation 1-like (yeast)	CSE1L
201112_s_at	CSE1 chromosome segregation 1-like (yeast)	CSE1L
201113_at	"Tu translation elongation factor, mitochondrial"	TUFM
201114_x_at	"proteasome (prosome, macropain) subunit, alpha type, 7"	PSMA7
201115_at	"polymerase (DNA directed), delta 2, regulatory subunit 50kDa"	POLD2
201116_s_at	carboxypeptidase E	CPE
201117_s_at	carboxypeptidase E	CPE
201118_at	phosphogluconate dehydrogenase	PGD
201119_s_at	cytochrome c oxidase subunit 8A (ubiquitous)	COX8A
201120_s_at	progesterone receptor membrane component 1	PGRMC1
201121_s_at	progesterone receptor membrane component 1	PGRMC1
201122_x_at	eukaryotic translation initiation factor 5A	EIF5A
201123_s_at	eukaryotic translation initiation factor 5A	EIF5A
201124_at	"integrin, beta 5"	ITGB5
201125_s_at	"integrin, beta 5"	ITGB5
201126_s_at	"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"	MGAT1
201127_s_at	ATP citrate lyase	ACLY
201128_s_at	ATP citrate lyase	ACLY
201129_at	"splicing factor, arginine/serine-rich 7, 35kDa"	SFRS7
201130_s_at	"cadherin 1, type 1, E-cadherin (epithelial)"	CDH1
201131_s_at	"cadherin 1, type 1, E-cadherin (epithelial)"	CDH1
201132_at	heterogeneous nuclear ribonucleoprotein H2 (H')	HNRNPH2
201133_s_at	praja ring finger 2	PJA2
201134_x_at	cytochrome c oxidase subunit VIIc	COX7C
201135_at	"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial"	ECHS1
201136_at	proteolipid protein 2 (colonic epithelium-enriched)	PLP2
201137_s_at	"major histocompatibility complex, class II, DP beta 1"	HLA-DPB1
201138_s_at	Sjogren syndrome antigen B (autoantigen La)	SSB
201139_s_at	Sjogren syndrome antigen B (autoantigen La)	SSB
201140_s_at	"RAB5C, member RAS oncogene family"	RAB5C
201141_at	glycoprotein (transmembrane) nmb	GPNMB
201142_at	"eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa"	EIF2S1
201143_s_at	"eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa"	EIF2S1
201144_s_at	"eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa"	EIF2S1
201145_at	HCLS1 associated protein X-1	HAX1
201146_at	nuclear factor (erythroid-derived 2)-like 2	NFE2L2
201147_s_at	TIMP metallopeptidase inhibitor 3	TIMP3
201148_s_at	TIMP metallopeptidase inhibitor 3	TIMP3
201149_s_at	TIMP metallopeptidase inhibitor 3	TIMP3
201150_s_at	TIMP metallopeptidase inhibitor 3	TIMP3
201151_s_at	muscleblind-like (Drosophila)	MBNL1
201152_s_at	muscleblind-like (Drosophila)	MBNL1
201153_s_at	muscleblind-like (Drosophila)	MBNL1
201154_x_at	ribosomal protein L4	RPL4
201155_s_at	mitofusin 2	MFN2
201156_s_at	"RAB5C, member RAS oncogene family"	RAB5C
201157_s_at	N-myristoyltransferase 1	NMT1
201158_at	N-myristoyltransferase 1	NMT1
201159_s_at	N-myristoyltransferase 1	NMT1
201160_s_at	cold shock domain protein A	CSDA
201161_s_at	cold shock domain protein A	CSDA
201162_at	insulin-like growth factor binding protein 7	IGFBP7
201163_s_at	insulin-like growth factor binding protein 7	IGFBP7
201164_s_at	pumilio homolog 1 (Drosophila)	PUM1
201165_s_at	pumilio homolog 1 (Drosophila)	PUM1
201166_s_at	pumilio homolog 1 (Drosophila)	PUM1
201167_x_at	Rho GDP dissociation inhibitor (GDI) alpha	ARHGDIA
201168_x_at	Rho GDP dissociation inhibitor (GDI) alpha	ARHGDIA
201169_s_at	"basic helix-loop-helix family, member e40"	BHLHE40
201170_s_at	"basic helix-loop-helix family, member e40"	BHLHE40
201171_at	"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"	ATP6V0E1
201172_x_at	"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"	ATP6V0E1
201173_x_at	nuclear distribution gene C homolog (A. nidulans)	NUDC
201174_s_at	"telomeric repeat binding factor 2, interacting protein"	TERF2IP
201175_at	thioredoxin-related transmembrane protein 2	TMX2
201176_s_at	archain 1	ARCN1
201177_s_at	ubiquitin-like modifier activating enzyme 2	UBA2
201178_at	F-box protein 7	FBXO7
