Probe Set ID	Target Description	Gene Title	Gene Symbol	Ensembl	SwissProt	SGD accession number
2365_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 344736 and 345735 with 100% identity."	"Essential protein involved in intracellular protein transport, coiled-coil protein necessary for transport from ER to Golgi; required for assembly of the ER-to-Golgi SNARE complex"	USO1	YDL058W	P25386 /// Q7LGT1	S000002216
2366_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 345736 and 346735 with 100% identity."	"Essential protein involved in intracellular protein transport, coiled-coil protein necessary for transport from ER to Golgi; required for assembly of the ER-to-Golgi SNARE complex"	USO1	YDL058W	P25386 /// Q7LGT1	S000002216
2367_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 346736 and 347735 with 100% identity."	"Essential protein involved in intracellular protein transport, coiled-coil protein necessary for transport from ER to Golgi; required for assembly of the ER-to-Golgi SNARE complex"	USO1	YDL058W	P25386 /// Q7LGT1	S000002216
2368_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 347736 and 348735 with 100% identity."	"Essential protein involved in intracellular protein transport, coiled-coil protein necessary for transport from ER to Golgi; required for assembly of the ER-to-Golgi SNARE complex"	USO1	YDL058W	P25386 /// Q7LGT1	S000002216
2369_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 348736 and 349735 with 100% identity."	"Essential protein involved in intracellular protein transport, coiled-coil protein necessary for transport from ER to Golgi; required for assembly of the ER-to-Golgi SNARE complex"	USO1	YDL058W	P25386 /// Q7LGT1	S000002216
2370_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 349736 and 350536 with 100% identity."	"Essential protein involved in intracellular protein transport, coiled-coil protein necessary for transport from ER to Golgi; required for assembly of the ER-to-Golgi SNARE complex"	USO1	YDL058W	P25386 /// Q7LGT1	S000002216
2371_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 618990 and 619989 with 100% identity."	---	---	---	---	---
2372_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 619990 and 620989 with 100% identity."	---	---	---	---	---
2373_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 620990 and 621989 with 100% identity."	---	---	---	---	---
2374_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 621990 and 622989 with 100% identity."	---	---	YDR089W	P38966	S000002496
2375_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 622990 and 623989 with 100% identity."	---	---	YDR089W	P38966	S000002496
2376_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 623990 and 624214 with 100% identity."	---	---	YDR089W	P38966	S000002496
2377_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 630598 and 631597 with 100% identity."	"Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase"	DNF2	YDR093W	Q12675	S000002500
2378_g_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 630598 and 631597 with 100% identity."	"Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase"	DNF2	YDR093W	Q12675	S000002500
2379_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 631598 and 632597 with 100% identity."	"Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase"	DNF2	YDR093W	Q12675	S000002500
2380_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 632598 and 633597 with 100% identity."	"Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase"	DNF2	YDR093W	Q12675	S000002500
2381_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 633598 and 634597 with 100% identity."	"Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase"	DNF2	YDR093W	Q12675	S000002500
2382_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 634598 and 635597 with 100% identity."	"Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase"	DNF2	YDR093W	Q12675	S000002500
2383_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 735394 and 736393 with 100% identity."	---	---	---	---	---
2384_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 736394 and 737393 with 100% identity."	---	---	---	---	---
2385_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 737394 and 738393 with 100% identity."	---	---	---	---	---
2386_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 738394 and 739393 with 100% identity."	---	---	---	---	---
2387_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 739394 and 740393 with 100% identity."	---	---	---	---	---
2388_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 756048 and 757047 with 100% identity."	"Protein required for nuclear migration, localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex"	NUM1	YDR150W	Q00402	S000002557
2389_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 757048 and 758047 with 100% identity."	"Protein required for nuclear migration, localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex"	NUM1	YDR150W	Q00402	S000002557
2390_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 759048 and 760047 with 100% identity."	"Protein required for nuclear migration, localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex"	NUM1	YDR150W	Q00402	S000002557
2391_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 760048 and 761047 with 100% identity."	"Protein required for nuclear migration, localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex"	NUM1	YDR150W	Q00402	S000002557
2392_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 761048 and 762047 with 100% identity."	"Protein required for nuclear migration, localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex"	NUM1	YDR150W	Q00402	S000002557
2393_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 762048 and 763047 with 100% identity."	"Protein required for nuclear migration, localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex"	NUM1	YDR150W	Q00402	S000002557
2394_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 763048 and 763367 with 100% identity."	"Protein required for nuclear migration, localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex"	NUM1	YDR150W	Q00402	S000002557
2395_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 275986 and 276985 with 100% identity."	---	---	---	---	---
2396_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 276986 and 277985 with 100% identity."	---	---	---	---	---
2397_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 277986 and 278985 with 100% identity."	"Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor"	CDC39	YCR093W	P25655	S000000689
2398_g_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 277986 and 278985 with 100% identity."	"Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor"	CDC39	YCR093W	P25655	S000000689
2399_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 278986 and 279985 with 100% identity."	"Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor"	CDC39	YCR093W	P25655	S000000689
2400_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 279986 and 280985 with 100% identity."	"Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor"	CDC39	YCR093W	P25655	S000000689
2401_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 280986 and 281985 with 100% identity."	"Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor"	CDC39	YCR093W	P25655	S000000689
2402_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 281986 and 282985 with 100% identity."	"Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor"	CDC39	YCR093W	P25655	S000000689
2403_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 282986 and 283985 with 100% identity."	"Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor"	CDC39	YCR093W	P25655	S000000689
2404_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 283986 and 284665 with 100% identity."	"Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor"	CDC39	YCR093W	P25655	S000000689
2405_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 79795 and 80794 with 100% identity."	---	---	---	---	---
2406_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 80795 and 81794 with 100% identity."	---	---	---	---	---
2407_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 81795 and 82794 with 100% identity."	---	---	---	---	---
2408_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 82795 and 83794 with 100% identity."	---	---	tG(GCC)B /// tG(GCC)C /// tG(GCC)D1 /// tG(GCC)D2 /// tG(GCC)E /// tG(GCC)F1 /// tG(GCC)F2 /// tG(GCC)G1 /// tG(GCC)G2 /// tG(GCC)J1 /// tG(GCC)J2 /// tG(GCC)M /// tG(GCC)O1 /// tG(GCC)O2 /// tG(GCC)P1 /// tG(GCC)P2	---	---
2409_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 83795 and 84794 with 100% identity."	---	---	---	Q8J0P5	---
2410_g_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 83795 and 84794 with 100% identity."	Permease that serves as a gamma-aminobutyrate (GABA) transport protein involved in the utilization of GABA as a nitrogen source; catalyzes the transport of putrescine and delta-aminolevulinic acid (ALA); localized to the vacuolar membrane	UGA4	YDL210W	P32837 /// Q8J0P5	S000002369
2411_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 84795 and 85486 with 100% identity."	Permease that serves as a gamma-aminobutyrate (GABA) transport protein involved in the utilization of GABA as a nitrogen source; catalyzes the transport of putrescine and delta-aminolevulinic acid (ALA); localized to the vacuolar membrane	UGA4	YDL210W	P32837 /// Q8J0P5	S000002369
2412_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 149704 and 150703 with 100% identity."	---	---	---	---	---
2413_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 150704 and 151703 with 100% identity."	---	---	---	---	---
2414_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 151704 and 152703 with 100% identity."	---	---	---	---	---
2415_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 152704 and 153703 with 100% identity."	---	---	---	---	---
2416_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 153704 and 154703 with 100% identity."	---	---	---	---	---
2417_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 154704 and 155703 with 100% identity."	---	---	---	---	---
2418_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 155704 and 156703 with 100% identity."	"Transcriptional activator necessary for gamma-aminobutyrate (GABA)-dependent induction of GABA genes (such as UGA1, UGA2, UGA4); zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type; localized to the nucleus"	UGA3	YDL170W	P26370 /// Q02867	S000002329
2419_g_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 155704 and 156703 with 100% identity."	"Transcriptional activator necessary for gamma-aminobutyrate (GABA)-dependent induction of GABA genes (such as UGA1, UGA2, UGA4); zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type; localized to the nucleus"	UGA3	YDL170W	P26370 /// Q02867	S000002329
2420_s_at	"Saccharomyces cerevisiae chromosome IV, complete chromosome sequence. Found forward in NC_001136 between 156704 and 157405 with 100% identity."	"Transcriptional activator necessary for gamma-aminobutyrate (GABA)-dependent induction of GABA genes (such as UGA1, UGA2, UGA4); zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type; localized to the nucleus"	UGA3	YDL170W	P26370 /// Q02867	S000002329
2421_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 638162 and 639161 with 100% identity."	---	---	---	---	---
2422_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 639162 and 640161 with 100% identity."	---	---	---	---	---
2423_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 640162 and 641161 with 100% identity."	---	---	---	---	---
2424_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 641162 and 642161 with 100% identity."	---	---	---	---	---
2425_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 642162 and 642542 with 100% identity."	---	---	YBR209W	P38311	S000000413
2426_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 751813 and 752812 with 100% identity."	---	---	---	---	---
2427_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 752813 and 753812 with 100% identity."	---	---	---	---	---
2428_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 753813 and 754812 with 100% identity."	---	---	---	---	---
2429_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 754813 and 755812 with 100% identity."	---	---	---	---	---
2430_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 755813 and 756812 with 100% identity."	---	---	---	---	---
2431_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 756813 and 757578 with 100% identity."	---	---	---	---	---
2432_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 82220 and 83219 with 100% identity."	"Protein kinase of the bud neck involved in the septin checkpoint, associates with septin proteins, negatively regulates Swe1p by phosphorylation, shows structural homology to bud neck kinases Gin4p and Hsl1p"	KCC4	YCL024W	P25389	S000000529
2433_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 83220 and 84219 with 100% identity."	---	---	YBL100W-A /// YBL100W-B /// YBL107W-A /// YCL019W /// YCL020W /// YCL021W-A /// YDR034C-C /// YDR034C-D /// YDR210W-A /// YDR210W-B /// YDR261W-A /// YDR261W-B /// YFL002W-A /// YFL002W-B /// YGR161W-A /// YGR161W-B /// YLR410W-A /// YLR410W-B /// YOR192C-A /// YOR192C-B /// YOR343W-A /// YOR343W-B	P0C2J2 /// P0C2J3 /// P0C2J4 /// P0C2J5 /// P0C2J6 /// P25383 /// P25384 /// Q03483 /// Q03494 /// Q07791 /// Q12113 /// Q12260 /// Q12293 /// Q12337 /// Q12392 /// Q12439 /// Q12472 /// Q12491 /// Q12501 /// Q12503 /// Q6B113 /// Q96VH3 /// Q99195 /// Q99303	S000000524 /// S000000525 /// S000002148 /// S000002149 /// S000002962 /// S000007229 /// S000007344 /// S000007345 /// S000007353 /// S000007354 /// S000007355 /// S000007356 /// S000007369 /// S000007370 /// S000007379 /// S000007380 /// S000007392 /// S000007393 /// S000007396 /// S000007397 /// S000007404 /// S000007549
2434_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 84220 and 85219 with 100% identity."	---	---	YBL100W-A /// YBL100W-B /// YCL019W /// YCL020W /// YDR034C-C /// YDR034C-D /// YDR210W-A /// YDR210W-B /// YDR261W-A /// YDR261W-B /// YFL002W-A /// YFL002W-B /// YGR161W-A /// YGR161W-B /// YLR410W-A /// YLR410W-B /// YOR192C-A /// YOR192C-B /// YOR343W-A /// YOR343W-B	P0C2J2 /// P0C2J3 /// P0C2J4 /// P0C2J5 /// P0C2J6 /// P25383 /// P25384 /// Q03483 /// Q03494 /// Q07791 /// Q12113 /// Q12260 /// Q12293 /// Q12337 /// Q12392 /// Q12439 /// Q12472 /// Q12491 /// Q12501 /// Q12503 /// Q99195 /// Q99303	S000000524 /// S000000525 /// S000002148 /// S000002149 /// S000002962 /// S000007344 /// S000007345 /// S000007353 /// S000007354 /// S000007355 /// S000007356 /// S000007369 /// S000007370 /// S000007379 /// S000007380 /// S000007392 /// S000007393 /// S000007396 /// S000007397 /// S000007404
2435_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 90220 and 91219 with 100% identity."	---	---	tL(CAA)A /// tL(CAA)C /// tL(CAA)D /// tL(CAA)G1 /// tL(CAA)G2 /// tL(CAA)G3 /// tL(CAA)K /// tL(CAA)L /// tL(CAA)M /// tL(CAA)N	---	---
2436_g_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 90220 and 91219 with 100% identity."	"Beta-isopropylmalate dehydrogenase (IMDH), catalyzes the third step in the leucine biosynthesis pathway"	LEU2	YCL018W	P04173	S000000523
2437_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 91220 and 91533 with 100% identity."	"Beta-isopropylmalate dehydrogenase (IMDH), catalyzes the third step in the leucine biosynthesis pathway"	LEU2	YCL018W	P04173	S000000523
2438_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 177526 and 178525 with 100% identity."	"PProtein homologous to human Chediak-Higashi syndrome and murine Beige proteins, which are implicated in disease syndromes due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting"	BPH1	YCR032W	P25356	S000000628
2439_g_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 177526 and 178525 with 100% identity."	"PProtein homologous to human Chediak-Higashi syndrome and murine Beige proteins, which are implicated in disease syndromes due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting"	BPH1	YCR032W	P25356	S000000628
2440_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 178526 and 179525 with 100% identity."	"PProtein homologous to human Chediak-Higashi syndrome and murine Beige proteins, which are implicated in disease syndromes due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting"	BPH1	YCR032W	P25356	S000000628
2441_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 179526 and 180525 with 100% identity."	"PProtein homologous to human Chediak-Higashi syndrome and murine Beige proteins, which are implicated in disease syndromes due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting"	BPH1	YCR032W	P25356	S000000628
2442_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 180526 and 181525 with 100% identity."	"PProtein homologous to human Chediak-Higashi syndrome and murine Beige proteins, which are implicated in disease syndromes due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting"	BPH1	YCR032W	P25356	S000000628
2443_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 181526 and 182525 with 100% identity."	"PProtein homologous to human Chediak-Higashi syndrome and murine Beige proteins, which are implicated in disease syndromes due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting"	BPH1	YCR032W	P25356	S000000628
2444_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 182526 and 183525 with 100% identity."	"PProtein homologous to human Chediak-Higashi syndrome and murine Beige proteins, which are implicated in disease syndromes due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting"	BPH1	YCR032W	P25356	S000000628
2445_s_at	"Saccharomyces cerevisiae chromosome III, complete chromosome sequence. Found forward in NC_001135 between 183526 and 184252 with 100% identity."	"PProtein homologous to human Chediak-Higashi syndrome and murine Beige proteins, which are implicated in disease syndromes due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting"	BPH1	YCR032W	P25356	S000000628
2446_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 74564 and 75563 with 100% identity."	"Abundant subunit of the nuclear pore complex (NPC), required for proper localization of specific nucleoporins within the NPC, involved in nuclear envelope permeability and in chromosome segregation, has similarity to Nup157p"	NUP170	YBL079W	P38181	S000000175
2447_g_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 74564 and 75563 with 100% identity."	"Abundant subunit of the nuclear pore complex (NPC), required for proper localization of specific nucleoporins within the NPC, involved in nuclear envelope permeability and in chromosome segregation, has similarity to Nup157p"	NUP170	YBL079W	P38181	S000000175
2448_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 75564 and 76563 with 100% identity."	"Abundant subunit of the nuclear pore complex (NPC), required for proper localization of specific nucleoporins within the NPC, involved in nuclear envelope permeability and in chromosome segregation, has similarity to Nup157p"	NUP170	YBL079W	P38181	S000000175
2449_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 76564 and 77563 with 100% identity."	"Abundant subunit of the nuclear pore complex (NPC), required for proper localization of specific nucleoporins within the NPC, involved in nuclear envelope permeability and in chromosome segregation, has similarity to Nup157p"	NUP170	YBL079W	P38181	S000000175
2450_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 77564 and 78563 with 100% identity."	"Abundant subunit of the nuclear pore complex (NPC), required for proper localization of specific nucleoporins within the NPC, involved in nuclear envelope permeability and in chromosome segregation, has similarity to Nup157p"	NUP170	YBL079W	P38181	S000000175
2451_s_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 78564 and 79261 with 100% identity."	"Abundant subunit of the nuclear pore complex (NPC), required for proper localization of specific nucleoporins within the NPC, involved in nuclear envelope permeability and in chromosome segregation, has similarity to Nup157p"	NUP170	YBL079W	P38181	S000000175
2452_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 187307 and 188306 with 100% identity."	---	---	---	---	---
2453_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 188307 and 189306 with 100% identity."	---	---	---	---	---
2454_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 189307 and 190306 with 100% identity."	---	---	---	---	---
2455_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 190307 and 191306 with 100% identity."	---	---	---	---	---
2456_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 191307 and 192306 with 100% identity."	---	---	---	---	---
2457_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 192307 and 192975 with 100% identity."	"Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its degradation"	FUS3	YBL016W	P16892	S000000112
2458_g_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 192307 and 192975 with 100% identity."	"Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its degradation"	FUS3	YBL016W	P16892	S000000112
2459_at	"Saccharomyces cerevisiae chromosome II, complete chromosome sequence. Found forward in NC_001134 between 220363 and 221362 with 100% identity."	"Transcriptional activator of the pleiotropic drug resistance network, regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting sites known as PDREs (PDR responsive elements)"	PDR3	YBL005W /// YBL005W-A /// YBL005W-B /// YBR012W-B /// YDR170W-A /// YMR045C /// YMR046C /// YNL284C-A /// YNL284C-B	P33200 /// Q03964 /// Q03970 /// Q04214 /// Q04215 /// Q12112 /// Q12193 /// Q12266 /// Q12391 /// Q12490 /// Q6B1F6	S000000101 /// S000002146 /// S000002147 /// S000002155 /// S000004648 /// S000004649 /// S000007227 /// S000007386 /// S000007387
