Probe Set ID	Target Description	Gene Title	Gene Symbol	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function
AFFX-r2-Bs-lys-3_at	"B. subtilis /GEN=lys /DB_XREF=gb:X17013.1 /NOTE=SIF corresponding to nucleotides 1008-1263 of gb:X17013.1, not 100% identical /DEF=B subtilis lys gene for diaminopimelate decarboxylase (EC 4.1.1.20)."	---	---	0008652 // amino acid biosynthetic process // inferred from electronic annotation /// 0009085 // lysine biosynthetic process // inferred from electronic annotation /// 0009089 // lysine biosynthetic process via diaminopimelate // inferred from electronic annotation	---	0003824 // catalytic activity // inferred from electronic annotation /// 0008836 // diaminopimelate decarboxylase activity // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation /// 0016831 // carboxy-lyase activity // inferred from electronic annotation
AFFX-r2-Bs-lys-5_at	"B. subtilis /GEN=lys /DB_XREF=gb:X17013.1 /NOTE=SIF corresponding to nucleotides 411-659 of gb:X17013.1, not 100% identical /DEF=B subtilis lys gene for diaminopimelate decarboxylase (EC 4.1.1.20)."	---	---	0008652 // amino acid biosynthetic process // inferred from electronic annotation /// 0009085 // lysine biosynthetic process // inferred from electronic annotation /// 0009089 // lysine biosynthetic process via diaminopimelate // inferred from electronic annotation	---	0003824 // catalytic activity // inferred from electronic annotation /// 0008836 // diaminopimelate decarboxylase activity // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation /// 0016831 // carboxy-lyase activity // inferred from electronic annotation
AFFX-r2-Bs-lys-M_at	"B. subtilis /GEN=lys /DB_XREF=gb:X17013.1 /NOTE=SIF corresponding to nucleotides 673-1002 of gb:X17013.1, not 100% identical /DEF=B subtilis lys gene for diaminopimelate decarboxylase (EC 4.1.1.20)."	---	---	0008652 // amino acid biosynthetic process // inferred from electronic annotation /// 0009085 // lysine biosynthetic process // inferred from electronic annotation /// 0009089 // lysine biosynthetic process via diaminopimelate // inferred from electronic annotation	---	0003824 // catalytic activity // inferred from electronic annotation /// 0008836 // diaminopimelate decarboxylase activity // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation /// 0016831 // carboxy-lyase activity // inferred from electronic annotation
AFFX-r2-Bs-phe-3_at	"B. subtilis /GEN=pheB /DB_XREF=gb:M24537.1 /NOTE=SIF corresponding to nucleotides 2897-3200 of gb:M24537.1, not 100% identical /DEF=Bacillus subtillis sporulation protein (spoOB), GTP-binding protein (obg), phenylalanine biosynthesis associated protein (pheB), and monofunctional prephenate dehydratase (pheA) genes, complete cds."	---	---	0000160 // two-component signal transduction system (phosphorelay) // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0008652 // amino acid biosynthetic process // inferred from electronic annotation /// 0009073 // aromatic amino acid family biosynthetic process // inferred from electronic annotation /// 0009094 // L-phenylalanine biosynthetic process // inferred from electronic annotation /// 0030435 // sporulation resulting in formation of a cellular spore // inferred from electronic annotation /// 0050896 // response to stimulus // inferred from electronic annotation	0005622 // intracellular // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation	"0000155 // two-component sensor activity // inferred from electronic annotation /// 0000166 // nucleotide binding // inferred from electronic annotation /// 0004664 // prephenate dehydratase activity // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016597 // amino acid binding // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016772 // transferase activity, transferring phosphorus-containing groups // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation"
AFFX-r2-Bs-phe-5_at	"B. subtilis /GEN=pheA /DB_XREF=gb:M24537.1 /NOTE=SIF corresponding to nucleotides 2116-2382 of gb:M24537.1 /DEF=Bacillus subtillis sporulation protein (spoOB), GTP-binding protein (obg), phenylalanine biosynthesis associated protein (pheB), and monofunctional prephenate dehydratase (pheA) genes, complete cds."	---	---	0000160 // two-component signal transduction system (phosphorelay) // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0008652 // amino acid biosynthetic process // inferred from electronic annotation /// 0009073 // aromatic amino acid family biosynthetic process // inferred from electronic annotation /// 0009094 // L-phenylalanine biosynthetic process // inferred from electronic annotation /// 0030435 // sporulation resulting in formation of a cellular spore // inferred from electronic annotation /// 0050896 // response to stimulus // inferred from electronic annotation	0005622 // intracellular // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation	"0000155 // two-component sensor activity // inferred from electronic annotation /// 0000166 // nucleotide binding // inferred from electronic annotation /// 0004664 // prephenate dehydratase activity // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016597 // amino acid binding // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016772 // transferase activity, transferring phosphorus-containing groups // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation"
AFFX-r2-Bs-phe-M_at	"B. subtilis /GEN=pheA /DB_XREF=gb:M24537.1 /NOTE=SIF corresponding to nucleotides 2484-2875 of gb:M24537.1 /DEF=Bacillus subtillis sporulation protein (spoOB), GTP-binding protein (obg), phenylalanine biosynthesis associated protein (pheB), and monofunctional prephenate dehydratase (pheA) genes, complete cds."	---	---	0000160 // two-component signal transduction system (phosphorelay) // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0008652 // amino acid biosynthetic process // inferred from electronic annotation /// 0009073 // aromatic amino acid family biosynthetic process // inferred from electronic annotation /// 0009094 // L-phenylalanine biosynthetic process // inferred from electronic annotation /// 0030435 // sporulation resulting in formation of a cellular spore // inferred from electronic annotation /// 0050896 // response to stimulus // inferred from electronic annotation	0005622 // intracellular // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation	"0000155 // two-component sensor activity // inferred from electronic annotation /// 0000166 // nucleotide binding // inferred from electronic annotation /// 0004664 // prephenate dehydratase activity // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016597 // amino acid binding // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016772 // transferase activity, transferring phosphorus-containing groups // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation"
AFFX-r2-Bs-thr-3_s_at	B. subtilis /GEN=thrB /DB_XREF=gb:X04603.1 /NOTE=SIF corresponding to nucleotides 1735-2143 of gb:X04603.1 /DEF=B. subtilis thrB and thrC genes for homoserine kinase and threonine synthase.	---	---	0006508 // proteolysis // inferred from electronic annotation /// 0006520 // amino acid metabolic process // inferred from electronic annotation /// 0006566 // threonine metabolic process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0008652 // amino acid biosynthetic process // inferred from electronic annotation /// 0009082 // branched chain family amino acid biosynthetic process // inferred from electronic annotation /// 0009086 // methionine biosynthetic process // inferred from electronic annotation /// 0009088 // threonine biosynthetic process // inferred from electronic annotation /// 0009097 // isoleucine biosynthetic process // inferred from electronic annotation /// 0016310 // phosphorylation // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	0000166 // nucleotide binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004412 // homoserine dehydrogenase activity // inferred from electronic annotation /// 0004413 // homoserine kinase activity // inferred from electronic annotation /// 0004795 // threonine synthase activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008236 // serine-type peptidase activity // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016597 // amino acid binding // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0050661 // NADP binding // inferred from electronic annotation
AFFX-r2-Bs-thr-5_s_at	B. subtilis /GEN=thrC /DB_XREF=gb:X04603.1 /NOTE=SIF corresponding to nucleotides 290-888 of gb:X04603.1 /DEF=B. subtilis thrB and thrC genes for homoserine kinase and threonine synthase.	---	---	0006508 // proteolysis // inferred from electronic annotation /// 0006520 // amino acid metabolic process // inferred from electronic annotation /// 0006566 // threonine metabolic process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0008652 // amino acid biosynthetic process // inferred from electronic annotation /// 0009082 // branched chain family amino acid biosynthetic process // inferred from electronic annotation /// 0009086 // methionine biosynthetic process // inferred from electronic annotation /// 0009088 // threonine biosynthetic process // inferred from electronic annotation /// 0009097 // isoleucine biosynthetic process // inferred from electronic annotation /// 0016310 // phosphorylation // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	0000166 // nucleotide binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004412 // homoserine dehydrogenase activity // inferred from electronic annotation /// 0004413 // homoserine kinase activity // inferred from electronic annotation /// 0004795 // threonine synthase activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008236 // serine-type peptidase activity // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016597 // amino acid binding // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0050661 // NADP binding // inferred from electronic annotation
AFFX-r2-Bs-thr-M_s_at	"B. subtilis /GEN=thrC, thrB /DB_XREF=gb:X04603.1 /NOTE=SIF corresponding to nucleotides 1045-1556 of gb:X04603.1 /DEF=B. subtilis thrB and thrC genes for homoserine kinase and threonine synthase."	---	---	0006508 // proteolysis // inferred from electronic annotation /// 0006520 // amino acid metabolic process // inferred from electronic annotation /// 0006566 // threonine metabolic process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0008652 // amino acid biosynthetic process // inferred from electronic annotation /// 0009082 // branched chain family amino acid biosynthetic process // inferred from electronic annotation /// 0009086 // methionine biosynthetic process // inferred from electronic annotation /// 0009088 // threonine biosynthetic process // inferred from electronic annotation /// 0009097 // isoleucine biosynthetic process // inferred from electronic annotation /// 0016310 // phosphorylation // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	0000166 // nucleotide binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004412 // homoserine dehydrogenase activity // inferred from electronic annotation /// 0004413 // homoserine kinase activity // inferred from electronic annotation /// 0004795 // threonine synthase activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008236 // serine-type peptidase activity // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016597 // amino acid binding // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0050661 // NADP binding // inferred from electronic annotation
AFFX-r2-Ec-bioB-3_at	"E. coli /GEN=bioB /DB_XREF=gb:J04423.1 /NOTE=SIF corresponding to nucleotides 2772-3004 of gb:J04423.1 /DEF=E.coli 7,8-diamino-pelargonic acid (bioA), biotin synthetase (bioB), 7-keto-8-amino-pelargonic acid synthetase (bioF), bioC protein, and dethiobiotin synthetase (bioD), complete cds."	---	---	0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0009102 // biotin biosynthetic process // inferred from electronic annotation /// 0009236 // cobalamin biosynthetic process // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	"0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004015 // adenosylmethionine-8-amino-7-oxononanoate transaminase activity // inferred from electronic annotation /// 0004076 // biotin synthase activity // inferred from electronic annotation /// 0004141 // dethiobiotin synthase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0008710 // 8-amino-7-oxononanoate synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0042242 // cobyrinic acid a,c-diamide synthase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation"
AFFX-r2-Ec-bioB-5_at	"E. coli /GEN=bioB /DB_XREF=gb:J04423.1 /NOTE=SIF corresponding to nucleotides 2071-2304 of gb:J04423.1 /DEF=E.coli 7,8-diamino-pelargonic acid (bioA), biotin synthetase (bioB), 7-keto-8-amino-pelargonic acid synthetase (bioF), bioC protein, and dethiobiotin synthetase (bioD), complete cds."	---	---	0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0009102 // biotin biosynthetic process // inferred from electronic annotation /// 0009236 // cobalamin biosynthetic process // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	"0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004015 // adenosylmethionine-8-amino-7-oxononanoate transaminase activity // inferred from electronic annotation /// 0004076 // biotin synthase activity // inferred from electronic annotation /// 0004141 // dethiobiotin synthase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0008710 // 8-amino-7-oxononanoate synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0042242 // cobyrinic acid a,c-diamide synthase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation"
AFFX-r2-Ec-bioB-M_at	"E. coli /GEN=bioB /DB_XREF=gb:J04423.1 /NOTE=SIF corresponding to nucleotides 2393-2682 of gb:J04423.1 /DEF=E.coli 7,8-diamino-pelargonic acid (bioA), biotin synthetase (bioB), 7-keto-8-amino-pelargonic acid synthetase (bioF), bioC protein, and dethiobiotin synthetase (bioD), complete cds."	---	---	0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0009102 // biotin biosynthetic process // inferred from electronic annotation /// 0009236 // cobalamin biosynthetic process // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	"0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004015 // adenosylmethionine-8-amino-7-oxononanoate transaminase activity // inferred from electronic annotation /// 0004076 // biotin synthase activity // inferred from electronic annotation /// 0004141 // dethiobiotin synthase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0008710 // 8-amino-7-oxononanoate synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0042242 // cobyrinic acid a,c-diamide synthase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation"
AFFX-r2-Ec-bioC-3_at	"E. coli /GEN=bioC /DB_XREF=gb:J04423.1 /NOTE=SIF corresponding to nucleotides 4608-4883 of gb:J04423.1 /DEF=E.coli 7,8-diamino-pelargonic acid (bioA), biotin synthetase (bioB), 7-keto-8-amino-pelargonic acid synthetase (bioF), bioC protein, and dethiobiotin synthetase (bioD), complete cds."	---	---	0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0009102 // biotin biosynthetic process // inferred from electronic annotation /// 0009236 // cobalamin biosynthetic process // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	"0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004015 // adenosylmethionine-8-amino-7-oxononanoate transaminase activity // inferred from electronic annotation /// 0004076 // biotin synthase activity // inferred from electronic annotation /// 0004141 // dethiobiotin synthase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0008710 // 8-amino-7-oxononanoate synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0042242 // cobyrinic acid a,c-diamide synthase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation"
AFFX-r2-Ec-bioC-5_at	"E. coli /GEN=bioC /DB_XREF=gb:J04423.1 /NOTE=SIF corresponding to nucleotides 4257-4573 of gb:J04423.1 /DEF=E.coli 7,8-diamino-pelargonic acid (bioA), biotin synthetase (bioB), 7-keto-8-amino-pelargonic acid synthetase (bioF), bioC protein, and dethiobiotin synthetase (bioD), complete cds."	---	---	0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0009102 // biotin biosynthetic process // inferred from electronic annotation /// 0009236 // cobalamin biosynthetic process // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	"0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004015 // adenosylmethionine-8-amino-7-oxononanoate transaminase activity // inferred from electronic annotation /// 0004076 // biotin synthase activity // inferred from electronic annotation /// 0004141 // dethiobiotin synthase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0008710 // 8-amino-7-oxononanoate synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0042242 // cobyrinic acid a,c-diamide synthase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation"
AFFX-r2-Ec-bioD-3_at	"E. coli /GEN=bioD /DB_XREF=gb:J04423.1 /NOTE=SIF corresponding to nucleotides 5312-5559 of gb:J04423.1, not 100% identical /DEF=E.coli 7,8-diamino-pelargonic acid (bioA), biotin synthetase (bioB), 7-keto-8-amino-pelargonic acid synthetase (bioF), bioC protein, and dethiobiotin synthetase (bioD), complete cds."	---	---	0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0009102 // biotin biosynthetic process // inferred from electronic annotation /// 0009236 // cobalamin biosynthetic process // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	"0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004015 // adenosylmethionine-8-amino-7-oxononanoate transaminase activity // inferred from electronic annotation /// 0004076 // biotin synthase activity // inferred from electronic annotation /// 0004141 // dethiobiotin synthase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0008710 // 8-amino-7-oxononanoate synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0042242 // cobyrinic acid a,c-diamide synthase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation"
AFFX-r2-Ec-bioD-5_at	"E. coli /GEN=bioD /DB_XREF=gb:J04423.1 /NOTE=SIF corresponding to nucleotides 5024-5244 of gb:J04423.1 /DEF=E.coli 7,8-diamino-pelargonic acid (bioA), biotin synthetase (bioB), 7-keto-8-amino-pelargonic acid synthetase (bioF), bioC protein, and dethiobiotin synthetase (bioD), complete cds."	---	---	0008152 // metabolic process // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0009102 // biotin biosynthetic process // inferred from electronic annotation /// 0009236 // cobalamin biosynthetic process // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	"0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004015 // adenosylmethionine-8-amino-7-oxononanoate transaminase activity // inferred from electronic annotation /// 0004076 // biotin synthase activity // inferred from electronic annotation /// 0004141 // dethiobiotin synthase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0008710 // 8-amino-7-oxononanoate synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0042242 // cobyrinic acid a,c-diamide synthase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation"
AFFX-r2-P1-cre-3_at	Bacteriophage P1 /GEN=cre /DB_XREF=gb:X03453.1 /NOTE=SIF corresponding to nucleotides 1032-1270 of gb:X03453.1 /DEF=Bacteriophage P1 cre gene for recombinase protein.	---	---	0006310 // DNA recombination // inferred from electronic annotation /// 0015074 // DNA integration // inferred from electronic annotation /// 0032196 // transposition // inferred from electronic annotation	---	0003677 // DNA binding // inferred from electronic annotation
AFFX-r2-P1-cre-5_at	Bacteriophage P1 /GEN=cre /DB_XREF=gb:X03453.1 /NOTE=SIF corresponding to nucleotides 581-1001 of gb:X03453.1 /DEF=Bacteriophage P1 cre gene for recombinase protein.	---	---	0006310 // DNA recombination // inferred from electronic annotation /// 0015074 // DNA integration // inferred from electronic annotation /// 0032196 // transposition // inferred from electronic annotation	---	0003677 // DNA binding // inferred from electronic annotation
AFFX-ThrX-3_at	"B. subtilis /GEN=thrB /DB_XREF=gb:X04603.1 /NOTE=SIF corresponding to nucleotides 1689-2151 of gb:X04603.1 /DEF=B. subtilis thrB and thrC genes for homoserine kinase and threonine synthase (EC 2.7.1.39 and EC 4.2.99.2, respectively)."	---	---	0006508 // proteolysis // inferred from electronic annotation /// 0006520 // amino acid metabolic process // inferred from electronic annotation /// 0006566 // threonine metabolic process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0008652 // amino acid biosynthetic process // inferred from electronic annotation /// 0009082 // branched chain family amino acid biosynthetic process // inferred from electronic annotation /// 0009086 // methionine biosynthetic process // inferred from electronic annotation /// 0009088 // threonine biosynthetic process // inferred from electronic annotation /// 0009097 // isoleucine biosynthetic process // inferred from electronic annotation /// 0016310 // phosphorylation // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation	0005737 // cytoplasm // inferred from electronic annotation	0000166 // nucleotide binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004412 // homoserine dehydrogenase activity // inferred from electronic annotation /// 0004413 // homoserine kinase activity // inferred from electronic annotation /// 0004795 // threonine synthase activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008236 // serine-type peptidase activity // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016597 // amino acid binding // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation /// 0050661 // NADP binding // inferred from electronic annotation
